comment,conditionInfo,dateTime,easeOfUse,effectiveness,helpful,reviewerInfo,satisfaction,supplement
"When I was about 30, I had prostrate infection for about 2 years. I want regulary to a uranologist doctor but only helped and did little else. I read that the prostate held about 80% of the zink found in the body, so I started taking zink suppliments and the infection went away in less than a week! And haven't had any problems since!!!! If you have had prostate infection, you know how bad it can hurt and how much you just want it to just go away. I still can't believe the Dr. didn't know about this and treated me for 2 years.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",8/27/2012 2:24:53 PM,,,,,,ZINC
I hoped it would help with my fluted finger nails.  After taking a pill supplement for one week I am feeling dizzy and my ringing ears are going nuts.  I had read somewhere on line the finger nail rememadey.  Did not help.  I feel like I am very sick.,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",2/9/2014 11:57:03 AM,,,,,,ZINC
New supplement for me. No prior experience.,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",1/14/2014 11:37:09 AM,,,,,,ZINC
"I take it daily, mostly to avoid the colds. I have never noticed that it helped the ADHD issues.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",1/7/2014 7:40:28 AM,,,,,,ZINC
"My head cold was dragging on without significant improvement. Somewhere in my foggy brain I remembered my chiropractor said zinc prevents colds. I got my Quantum Cold Season TheraZinc spray out and immediately began to improve. Yes, I was already sick, but it began to reverse my symptoms without the use of any other medications. My nasal congestion began to lessen and after blowing my nose, less congestion formed and less often--and I wasn't even using the directed amount. The print was so small, I could not read it. Only tonight I read it once I took a photo of it with my iPhone and then enlarged it.

","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",11/17/2013 11:11:34 PM,,,,,,ZINC
"For years, I have taken echinacea and golden seal at first sign of cold, and these supplements have either prevented or dramatically shortened the duration of my cold symptoms. With the Zicam's product andcombination of zinc with echinacea and Vitamin C-- and the relative safety of homeopathic treatment, my cold is definitely shortened and symptoms have been reduced substantially. One Must, I mean must, take this product as soon as you feel and identify the smallest cold symptom, as it is not at all,  or not nearly as effective, once the cold takes over,","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",10/3/2013 12:38:20 PM,,,,,,ZINC
,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",5/4/2014 7:26:03 PM,,,,,,ZINC
,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",5/2/2014 6:23:58 PM,,,,,,ZINC
I started taking Zinc several years ago and have not had a common cold or flu since.  I take 50mg every morning of Spring Valley brank (not listed here,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",5/1/2014 11:50:41 AM,,,,,,ZINC
"This might be the first case I've seen online but taking 30mg of zinc twice a day helped me quit smoking. Its more than reccomended but it helped in so many ways imaginable. It improved my sex life, prevented colds and increased energy","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",2/10/2014 3:53:53 AM,,,,,,ZINC
I googled after starting to take zinc 100+ chelated that the high end for an adult in taking zinc is 40 mg.  why would the daily dose be 100mg??? I got nauseous every day taking it.,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",2/9/2014 2:17:57 PM,,,,,,ZINC
Zinc has many uses and primarily strengthens the immune system. While ill with an upper respiratory tract infection and also bronchitis using it helped healing. Great for energy and sexual function especially overall vitality.,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",5/6/2015 8:52:16 AM,,,,,,ZINC
Easies the pain.,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",4/4/2015 5:12:35 AM,,,,,,ZINC
I take it in the form of Aire Borne before and after boarding planes. I travel at least 8 times per year. When I take it before and after as well as for 2 days after two to three times a day I virtually never get a cold from a plane ride whereas I would get two to three colds a year from riding airplanes. If I take it at the first onset of a cold it frequently will stop it dead in its tracks. I am a retired physician with HIV and I am convinced it helps with the common cold.,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",10/14/2014 8:35:58 PM,,,,,,ZINC
It help me realize that if u Got the right medicine that anything is possible ,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",9/26/2014 1:15:50 PM,,,,,,ZINC
I started taking zinc because my hair had been falling out in clumps every time I showered or brushed my hair. (Because of anorexia)The zinc didn't completely stop it from coming out but it did help quite a bit. Only a few strands per stroke with the hair brush come out now. ,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",6/27/2014 3:44:26 PM,,,,,,ZINC
,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",1/3/2016 10:47:38 AM,,,,,,ZINC
"Was having bad leg cramps in my calves and feet for a few months, especially at night. Tried magnesium, calcium, vitamin D, potassium, but nothing helped. Tried zinc gluconate 50mg tablets three times a day for a week and the cramps completely subsided. Even my skin eczema looks better. Will cut the dose of zinc in a couple of weeks or so back closer to RDA levels to prevent copper deficiency, hopefully the leg cramps will stay away.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",12/1/2015 9:37:03 PM,,,,,,ZINC
"Have MPB, scalp also itched a lot. Since I take a daily dose of zinc the itch is gone. No regrowth of hair. Hair loss is more steady now, but that is due to minoxidil & finasteride (at least, I'm pretty sure)","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",11/13/2015 11:14:36 PM,,,,,,ZINC
My child hasn't been sick with recurrent strep nor ear infections over 3 months now since taking this natural supplement.,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",8/31/2015 10:08:59 PM,,,,,,ZINC
I used zinc oxide ointment daily for my psoriasis  The improvement was very noticeable after 1 month and dramatic after 2 months. The psoriasis had covered large areas of my body.  It cleared up almost completely.  I applied it every night before bed and left on all night. Zinc oxide orally didn't work. Ointment also much more effective than cream. The psoriasis on my scalp cleared up just through the amount I was getting on the rest of my body. Now years later I still get occasional small patches and ointment doesn't work so well perhaps because not getting enough of it now that area affected is small. I sourced the zinc oxide from a veterinary supplies place as a cattle ointment! Could get a large amount relatively cheaply. ,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",7/2/2015 2:38:10 AM,,,,,,ZINC
"I'd asked my spouse to pick up a bottle of 15 mg of zinc. He came home with 50 mg instead, saying that was the only one he found. Foolishly I figured it would probably be fine, not realizing 50 mg is over the recommended daily amount for anyone. After taking these for several months, I began having abdominal cramps, diarrhea, nausea and lack of appetite resulting in unexpected  weight loss. Overall I feel pretty lousy and I'm glad I noticed the dosage on my zinc before I took it last night and checked in with webmd to discover that I only require 8 mg daily. Thank you webmd for having this information available!","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",12/16/2017 12:36:02 PM,,,,,,ZINC
,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",7/9/2017 8:29:14 AM,,,,,,ZINC
"Many years ago (40) a Doctor of preventative medicine put me on supplements, incl. 25mg of chelated zinc.  Within a month the palm of my hand was cracked open and bleeding. (No history of eczema) He ordered me off zinc immediately.  Through the years I have avoided it.  A couple of years ago all the better cal/mag supplements added zinc.  After so many years I thought I was safe trying one with 2mg zinc.  Not so!  In a matter of days I was back in trouble.  Took a couple months to clear.  Don't know if anyone else has had a similar experience","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",5/15/2017 5:15:28 PM,,,,,,ZINC
"Zinc does not make you lose smell/taste. It actually helps. The comment from the person taking ZICAM and lost smell/taste, is due to Zicam, not zinc. If you look up smell/taste loss zicam, you will see results. It is the same as with Flonase. I lost my smell and taste due to Flonase and used zinc and I got it back. Maybe the zinc did not help, but did not cause it. Zicam and Flonase can cause it. Not Zinc. Do research.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",7/19/2016 9:09:49 AM,,,,,,ZINC
"Bad side affects!  Nary a cold for years, then 3 in a row.  I was 68 and in good health other than the cold[s]. I saw the hype on zinc supplements as a cold treatment.  Self dosed with Zicam exactly as directed on the bottle and I believe it helped moderate the cold's duration.  HOWEVER... I lost all sense of taste and smell shortly afterwards.  Came on gradually.  Called my doctor who's first question was 'are you taking a zinc supplement'?  Came to find out that loss of taste/smell is a common side-affect.  The sensory loss continued for about 6-7 months and has gradually returned.  Zinc can be dangerous.  Research side affects yourself before trying...","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",1/18/2016 10:49:38 AM,,,,,,ZINC
"I took a 40mg Zinc supplement daily for years. In addition, Zinc was in my multivitamin/multimineral, my calcium & B-complex supplements.
    I have Hashimoto's thyroiditis, often comorbid with hypocortisolism. Zinc is used clinically to reduce high cortisol.
     I'm still not right but I fely decidedly better when I deleted my 40mg supplement.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",8/21/2019 5:57:28 AM,,,,,,ZINC
This is the zinc tablet from equate brand They only thing bad I have to say is I turned out to be allergic to the active ingredient so I had to stop taking it but the 3 days I did take it I had no runny nose no sneezing and no caughting I would definitely recommend this for anyone that is not allergic to it,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",1/29/2019 12:57:44 AM,,,,,,ZINC
"At first signs of cold, I suck on zinc tablets and it usually stops the progression of the cold within 3 days","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",1/21/2019 12:02:50 PM,,,,,,ZINC
"This supplement has helped me with hair loss. I noticed a reduction on the amount of daily hair  on my white floor since I started taking it. 
I had to pass the broom twice a day and grab the balls of hair to put in the trash, now my hair loss is minimal.
The ""365"" brand offers chelated zinc and contains also some copper. It took me years to find something that worked.  I guess I did not treat the root cause until now and it was mineral deficiency.
Please note I initially purchased the liquid zinc from the ""Benevolent"" brand and that one gave me horrible vertigo. I later noticed this brand not only includes zinc but also Elderberry Fruit, Umckaloabo Root, and Echinacea. I ended spending more than $400 on doctors and the symptoms stopped a couple of days after I stopped taking the liquid zinc. I did not think of the liquid zinc as the cause until I took it again and the vertigo started again. I stopped it for good and I did not experience vertigo ever again.
I have been taking the ""365"" brand which works with no side effects in one month. I will continue using it. ","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",1/3/2019 3:33:38 PM,,,,,,ZINC
Taking zinc has made me very tired. However after consuming it over a period of time i feel much better and the sleepiness is no longer affecting my day to day life. It has helped me detoxify from arsenic and helo with elevated copper levels. ,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",11/7/2018 8:01:24 PM,,,,,,ZINC
I take this as soon as my cycle starts and it helped with everything from first day fatigue to general moodiness.  I have recommended it to all my friends and coworkers instead of IB or motrin.  I find it to be a great alternative.  It helps if you take it the week before your cycle starts.,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",11/20/2010 10:47:49 PM,,,,,,EVENING PRIMROSE OIL
"This was very helpful for breast cysts. After taking this, they went away completely,could be a coincidence...","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",9/8/2010 1:31:21 PM,,,,,,EVENING PRIMROSE OIL
